train_samples,test_samples,method,ci_train_same_size,ci_train_max_size,ci_test,ibs_train_same_size,ibs_train_max_size,ibs_test,train_time,test_time,error,error_text,model_id
1,1,LogReg_Classic,0.9420558398012674,0.9419601320216499,0.944293538941445,0.531395199007387,0.35077080024730345,0.5279696949050747,0.6707849502563477,1.0878965854644775,0,,1
1,10,LogReg_Classic,0.9420558398012674,0.9419601320216499,0.9425080914799321,0.531395199007387,0.35077080024730345,0.37911118133893895,0.6707849502563477,8.874610900878906,0,,1
1,25,LogReg_Classic,0.9420558398012674,0.9419601320216499,0.9429713497298433,0.531395199007387,0.35077080024730345,0.3611254736288579,0.6707849502563477,22.04264807701111,0,,1
2,1,LogReg_Classic,0.9414922686008602,0.9421362693573496,0.947240013421174,0.3293810891618514,0.2477668130648325,0.3840499651091249,1.0959196090698242,1.1139631271362305,0,,2
2,10,LogReg_Classic,0.9414922686008602,0.9421362693573496,0.9439125741907254,0.3293810891618514,0.2477668130648325,0.24463545442197493,1.0959196090698242,8.946802616119385,0,,2
2,25,LogReg_Classic,0.9414922686008602,0.9421362693573496,0.9442076384883398,0.3293810891618514,0.2477668130648325,0.22818655419576978,1.0959196090698242,21.79900622367859,0,,2
5,1,LogReg_Classic,0.9438270355015582,0.9433188030724086,0.9511902130783157,0.22896849812553255,0.196422329844681,0.3235137317511696,2.5758509635925293,1.0868949890136719,0,,3
5,10,LogReg_Classic,0.9438270355015582,0.9433188030724086,0.9459650810874847,0.22896849812553255,0.196422329844681,0.20333292128014388,2.5758509635925293,8.946810007095337,0,,3
5,25,LogReg_Classic,0.9438270355015582,0.9433188030724086,0.9458058185188705,0.22896849812553255,0.196422329844681,0.1893541877108627,2.5758509635925293,21.925342321395874,0,,3
10,1,LogReg_Classic,0.9420621677359355,0.9416789699403646,0.9483662697953729,0.2167838680479585,0.20429443584956755,0.33778579640678147,4.999304533004761,1.082883358001709,0,,4
10,10,LogReg_Classic,0.9420621677359355,0.9416789699403646,0.9431100965100322,0.2167838680479585,0.20429443584956755,0.2133830626001701,4.999304533004761,8.946808338165283,0,,4
10,25,LogReg_Classic,0.9420621677359355,0.9416789699403646,0.9432392942421886,0.2167838680479585,0.20429443584956755,0.1992310884383949,4.999304533004761,21.97447371482849,0,,4
15,1,LogReg_Classic,0.9442483010091893,0.9440934015053997,0.9531163576857407,0.2004814323674993,0.19400607454452,0.333624435371976,7.307477951049805,1.10493803024292,0,,5
15,10,LogReg_Classic,0.9442483010091893,0.9440934015053997,0.9471769307515562,0.2004814323674993,0.19400607454452,0.20592654493260695,7.307477951049805,9.436111211776733,0,,5
15,25,LogReg_Classic,0.9442483010091893,0.9440934015053997,0.9470254258563575,0.2004814323674993,0.19400607454452,0.191118925981358,7.307477951049805,23.399269819259644,0,,5
20,1,LogReg_Classic,0.9418661082833105,0.9429342486274117,0.942795967234929,0.5248966209130547,0.5143672945710865,0.7413727959309566,9.943462133407593,1.0999257564544678,0,,6
20,10,LogReg_Classic,0.9418661082833105,0.9429342486274117,0.94007792780321,0.5248966209130547,0.5143672945710865,0.5457085829531446,9.943462133407593,9.097209692001343,0,,6
20,25,LogReg_Classic,0.9418661082833105,0.9429342486274117,0.9406427924898132,0.5248966209130547,0.5143672945710865,0.5220636870680404,9.943462133407593,22.27056336402893,0,,6
30,1,LogReg_Classic,0.9304483176633355,0.9309550259491051,0.9339322093290902,0.5605322378975218,0.556894936053371,0.784211669880347,14.402328491210938,1.1129603385925293,0,,7
30,10,LogReg_Classic,0.9304483176633355,0.9309550259491051,0.9319832043444418,0.5605322378975218,0.556894936053371,0.5880344049859407,14.402328491210938,9.151367902755737,0,,7
30,25,LogReg_Classic,0.9304483176633355,0.9309550259491051,0.9322829437492158,0.5605322378975218,0.556894936053371,0.564433575420031,14.402328491210938,22.257240533828735,0,,7
40,,LogReg_Classic,,,,,,,,,1,"FIT_ERROR$This solver needs samples of at least 2 classes in the data, but the data contains only one class: False",8
50,,LogReg_Classic,,,,,,,,,1,"FIT_ERROR$This solver needs samples of at least 2 classes in the data, but the data contains only one class: False",9
